timestamp,user_id,network_type,throughput_mbps,latency_ms
2024-04-27T00:00:01Z,user_1,5G,112.3,12
2024-04-27T00:00:02Z,user_2,5G,85.7,18
2024-04-27T00:00:03Z,user_3,5G,150.4,8
2024-04-27T00:00:04Z,user_4,5G,95.1,14
2024-04-27T00:00:05Z,user_5,5G,130.6,10
2024-04-27T00:00:06Z,user_6,5G,78.9,22
2024-04-27T00:00:07Z,user_7,5G,140.2,9
2024-04-27T00:00:08Z,user_8,5G,102.5,13
2024-04-27T00:00:09Z,user_9,5G,88.3,15
2024-04-27T00:00:10Z,user_10,5G,115.4,11
2024-04-27T00:00:11Z,user_11,5G,90.7,16
2024-04-27T00:00:12Z,user_12,5G,125.1,12
2024-04-27T00:00:13Z,user_13,5G,105.3,14
2024-04-27T00:00:14Z,user_14,5G,80.6,19
2024-04-27T00:00:15Z,user_15,5G,138.2,9
2024-04-27T00:00:16Z,user_16,5G,97.8,13
2024-04-27T00:00:17Z,user_17,5G,110.9,12
2024-04-27T00:00:18Z,user_18,5G,142.7,8
2024-04-27T00:00:19Z,user_19,5G,85.1,17
2024-04-27T00:00:20Z,user_20,5G,120.4,11
2024-04-27T00:00:21Z,user_21,5G,95.9,15
2024-04-27T00:00:22Z,user_22,5G,130.1,10
2024-04-27T00:00:23Z,user_23,5G,100.7,13
2024-04-27T00:00:24Z,user_24,5G,87.5,18
2024-04-27T00:00:25Z,user_25,5G,115.9,11
2024-04-27T00:00:26Z,user_26,5G,108.5,14
2024-04-27T00:00:27Z,user_27,5G,94.3,16
2024-04-27T00:00:28Z,user_28,5G,135.8,9
2024-04-27T00:00:29Z,user_29,5G,102.0,13
2024-04-27T00:00:30Z,user_30,5G,89.6,17
2024-04-27T00:00:31Z,user_31,5G,118.1,12
2024-04-27T00:00:32Z,user_32,5G,84.4,19
2024-04-27T00:00:33Z,user_33,5G,125.9,11
2024-04-27T00:00:34Z,user_34,5G,99.2,15
2024-04-27T00:00:35Z,user_35,5G,140.0,8
2024-04-27T00:00:36Z,user_36,5G,92.7,16
2024-04-27T00:00:37Z,user_37,5G,110.3,13
2024-04-27T00:00:38Z,user_38,5G,130.7,10
2024-04-27T00:00:39Z,user_39,5G,86.9,18
2024-04-27T00:00:40Z,user_40,5G,120.0,11
2024-04-27T00:00:41Z,user_41,5G,101.4,14
2024-04-27T00:00:42Z,user_42,5G,88.0,16
2024-04-27T00:00:43Z,user_43,5G,115.6,12
2024-04-27T00:00:44Z,user_44,5G,98.3,15
2024-04-27T00:00:45Z,user_45,5G,132.9,9
2024-04-27T00:00:46Z,user_46,5G,94.1,17
2024-04-27T00:00:47Z,user_47,5G,108.9,13
2024-04-27T00:00:48Z,user_48,5G,85.3,19
2024-04-27T00:00:49Z,user_49,5G,120.7,11
2024-04-27T00:00:50Z,user_50,5G,100.1,14
2024-04-27T00:00:51Z,user_1,5G,130.3,10
2024-04-27T00:00:52Z,user_2,5G,92.6,16
2024-04-27T00:00:53Z,user_3,5G,115.0,12
2024-04-27T00:00:54Z,user_4,5G,87.7,17
2024-04-27T00:00:55Z,user_5,5G,140.8,8
2024-04-27T00:00:56Z,user_6,5G,95.4,15
2024-04-27T00:00:57Z,user_7,5G,108.2,13
2024-04-27T00:00:58Z,user_8,5G,84.9,19
2024-04-27T00:00:59Z,user_9,5G,120.3,11
2024-04-27T00:01:00Z,user_10,5G,101.7,14
2024-04-27T00:01:01Z,user_11,5G,89.1,16
2024-04-27T00:01:02Z,user_12,5G,115.2,12
2024-04-27T00:01:03Z,user_13,5G,99.9,15
2024-04-27T00:01:04Z,user_14,5G,132.5,10
2024-04-27T00:01:05Z,user_15,5G,94.7,17
2024-04-27T00:01:06Z,user_16,5G,108.0,13
2024-04-27T00:01:07Z,user_17,5G,85.5,19
2024-04-27T00:01:08Z,user_18,5G,120.9,11
2024-04-27T00:01:09Z,user_19,5G,100.3,14
2024-04-27T00:01:10Z,user_20,5G,130.0,10
2024-04-27T00:01:11Z,user_21,5G,92.2,16
2024-04-27T00:01:12Z,user_22,5G,115.7,12
2024-04-27T00:01:13Z,user_23,5G,87.9,17
2024-04-27T00:01:14Z,user_24,5G,140.5,8
2024-04-27T00:01:15Z,user_25,5G,95.8,15
2024-04-27T00:01:16Z,user_26,5G,108.7,13
2024-04-27T00:01:17Z,user_27,5G,84.6,19
