timestamp,user_id,network_type,throughput_mbps,latency_ms
2025-04-06T09:00:00Z,user_4,5G,865,27
2025-04-06T09:01:00Z,user_5,5G,912,22
2025-04-06T09:02:00Z,user_6,5G,734,33
2025-04-06T09:03:00Z,user_7,5G,478,45
2025-04-06T09:04:00Z,user_8,5G,689,28
2025-04-06T09:05:00Z,user_9,5G,523,31
2025-04-06T09:06:00Z,user_10,5G,815,19
2025-04-06T09:07:00Z,user_11,5G,754,23
2025-04-06T09:08:00Z,user_12,5G,883,16
2025-04-06T09:09:00Z,user_13,5G,654,35
2025-04-06T09:10:00Z,user_14,5G,799,21
2025-04-06T09:11:00Z,user_15,5G,905,18
2025-04-06T09:12:00Z,user_16,5G,612,29
2025-04-06T09:13:00Z,user_17,5G,741,26
2025-04-06T09:14:00Z,user_18,5G,687,24
2025-04-06T09:15:00Z,user_19,5G,830,20
2025-04-06T09:16:00Z,user_20,5G,567,33
2025-04-06T09:17:00Z,user_21,5G,774,27
2025-04-06T09:18:00Z,user_22,5G,854,22
2025-04-06T09:19:00Z,user_23,5G,692,30
2025-04-06T09:20:00Z,user_24,5G,721,25
2025-04-06T09:21:00Z,user_25,5G,889,19
2025-04-06T09:22:00Z,user_26,5G,734,26
2025-04-06T09:23:00Z,user_27,5G,584,34
2025-04-06T09:24:00Z,user_28,5G,812,21
2025-04-06T09:25:00Z,user_29,5G,766,23
2025-04-06T09:26:00Z,user_30,5G,695,27
2025-04-06T09:27:00Z,user_31,5G,839,22
2025-04-06T09:28:00Z,user_32,5G,723,28
2025-04-06T09:29:00Z,user_33,5G,662,30
2025-04-06T09:30:00Z,user_34,5G,777,25
2025-04-06T09:31:00Z,user_35,5G,899,18
2025-04-06T09:32:00Z,user_36,5G,745,23
2025-04-06T09:33:00Z,user_37,5G,681,29
2025-04-06T09:34:00Z,user_38,5G,826,20
2025-04-06T09:35:00Z,user_39,5G,574,33
2025-04-06T09:36:00Z,user_40,5G,793,22
2025-04-06T09:37:00Z,user_41,5G,862,19
2025-04-06T09:38:00Z,user_42,5G,711,27
2025-04-06T09:39:00Z,user_43,5G,735,24
2025-04-06T09:40:00Z,user_44,5G,689,25
2025-04-06T09:41:00Z,user_45,5G,823,21
2025-04-06T09:42:00Z,user_46,5G,576,32
2025-04-06T09:43:00Z,user_47,5G,754,26
2025-04-06T09:44:00Z,user_48,5G,815,20
2025-04-06T09:45:00Z,user_49,5G,691,23
2025-04-06T09:46:00Z,user_50,5G,737,27
2025-04-06T09:47:00Z,user_51,5G,862,18
2025-04-06T09:48:00Z,user_52,5G,709,25
2025-04-06T09:49:00Z,user_53,5G,684,28
2025-04-06T09:50:00Z,user_54,5G,799,22
2025-04-06T09:51:00Z,user_55,5G,570,31
2025-04-06T09:52:00Z,user_56,5G,762,24
